category_id;category_name;category_description
1;Film & Animation;Film category includes new film trailers, videos related to films, movie scenes, songs. Animation category includes animation videos, short cartoon stories etc.,
2;Autos & Vehicles;Autos & Vehicles category includes video related to cars, bikes automobiles technology, customized vehicles and much more. In short category have all related videos for Autos and Vehicles.
10;Music;Music category seems not required any instruction, as name mention what king of video it includes. Music category includes videos related to all kind of music, songs etc.,
15;Pets & Animals;Pets and Animals category includes funny and amazing videos for pets and animals. In short videos related to pets and animals.
17;Sports;Sports category includes videos for sports and sport activities. Sports, coaching, sport game videos etc., All related to sport games.
19;Travel & Events;Travel & Events category includes videos for traveling tips, travel places, event videos, event tips and much more for travel and events.
20;Gaming;Gaming category includes videos for games, game hacks, tips, game reviews and much more.
22;People & Blogs;Category includes videos for people, life style, things about people, blogs, website promotion, reviews and more related to People & Blogs things.
23;Comedy;Comedy category includes comedy videos in different type, it may stand up speech, short story, animation story, any funny videos for comedy.
24;Entertainment;Entertainment category have videos for entertainment, some time you may have confusion in category selection. you can select category based on video content.
25;News & Politics;Again category it self explain which kind of videos it contains. News & Politics category can apply which have content for news or politics.
26;Howto & Style;Videos which have how to tutorials, style, fashion, style tips are includes in Howto & Style category.
27;Education;Education category includes videos for eduction, if video is for tutorial or information and not fit in other categories, you can add it in Education category.
28;Science & Technology;Videos which have content for Science and Technology are comes in this category.
29;Nonprofits & Activism;
